"","Year","State","State.ANSI","Data.Item","Fertilizer","Value"
"114",2018,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","PHOSPHATE",97
"115",2018,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","POTASH",100
"116",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","NITROGEN",3992000
"117",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","PHOSPHATE",1162000
"118",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","POTASH",1731000
"119",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","SULFUR",539000
"120",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","NITROGEN",2
"121",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PHOSPHATE",5
"122",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","POTASH",7
"123",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","SULFUR",1
"124",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","NITROGEN",97
"125",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PHOSPHATE",29
"126",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","POTASH",42
"127",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","SULFUR",14
"128",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","NITROGEN",43.4
"129",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","PHOSPHATE",5.6
"130",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","POTASH",6.3
"131",2014,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","SULFUR",14.8
"132",2014,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","NITROGEN",99
"133",2014,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","PHOSPHATE",96
"134",2014,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","POTASH",98
"135",2014,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","SULFUR",92
"136",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","NITROGEN",559000
"137",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","PHOSPHATE",793000
"138",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","POTASH",2330000
"139",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","SULFUR",NA
"140",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","NITROGEN",1
"141",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PHOSPHATE",2
"142",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","POTASH",6
"143",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","SULFUR",NA
"144",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","NITROGEN",60
"145",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PHOSPHATE",84
"146",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","POTASH",248
"147",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","SULFUR",NA
"148",2014,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","NITROGEN",49.4
